num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,typegen_time,match_gen_time,processing_time,program_gen_time,total_time,correct
1,1.0,0.0,1,1,909,257,388975,1166,390206,false
1,1.0,0.0,1,1,56,48,402561,104,402671,true
1,2.0,0.0,2,2,482,150,432981,632,433619,true
5,2.8,0.55999994,4,2,33,44,426142,77,426224,true
2,1.5,0.25,2,1,637,297,378793,934,379732,false
1,2.0,0.0,2,2,188,147,418561,335,418900,true
1,2.0,0.0,2,2,20,21,430875,41,430921,false
1,3.0,0.0,3,3,19,24,438206,43,438254,true
9,3.6666667,0.44444445,4,2,24,93,479147,117,479269,true
4,3.5,0.25,4,3,26,59,436295,85,436384,true
1,2.0,0.0,2,2,20,24,410704,44,410751,true
1,1.0,0.0,1,1,17,14,405071,31,405107,false
1,2.0,0.0,2,2,68,69,423315,137,423458,true
2,3.0,0.0,3,3,374,278,441273,652,441932,true
3,2.6666667,0.22222221,3,2,106,50,438180,156,438340,true
1,4.0,0.0,4,4,53,191,420981,244,421230,true
23,3.8695652,0.20037794,4,2,163,741,528223,904,529134,true
7,2.7142856,1.0612245,4,1,191,267,455083,458,455547,true
1,4.0,0.0,4,4,284,225,417702,509,418218,true
1,2.0,0.0,2,2,524,170,430477,694,431178,false
1,2.0,0.0,2,2,357,64,441309,421,441734,false
1,3.0,0.0,3,3,99,44,428745,143,428893,false
1,1.0,0.0,1,1,38,31,405035,69,405109,false
3,2.0,0.6666667,3,1,119,103,380075,222,380302,false
7,3.4285715,0.53061223,4,2,77,233,472722,310,473036,true
1,1.0,0.0,1,1,170,41,415543,211,415758,false
120,3.9583333,0.05659727,4,2,75,781,1159,856,2020,false
3,2.6666667,0.22222221,3,2,146,108,433053,254,433309,true
4,2.0,0.5,3,1,113,77,427653,190,427847,true
1,2.0,0.0,2,2,62,44,364723,106,364833,false
2,1.5,0.25,2,1,483,606,384325,1089,385420,false
1,2.0,0.0,2,2,1070,256,382598,1326,383930,false
4,4.0,0.0,4,4,182,347,456006,529,456541,true
2,2.5,2.25,4,1,349,422,385258,771,386036,false
1,1.0,0.0,1,1,602,181,367794,783,368583,false
1,4.0,0.0,4,4,32,67,416726,99,416830,true
5,2.2,0.55999994,3,1,199,239,425394,438,425837,true
1,2.0,0.0,2,2,154,22,420670,176,420851,false
1,2.0,0.0,2,2,27,32,410906,59,410971,true
3,3.6666667,0.22222221,4,3,446,2063,456911,2509,459426,true
2,1.5,0.25,2,1,91,46,416772,137,416913,true
2,2.0,1.0,3,1,228,178,367112,406,367522,false
7,3.0,1.1428572,4,1,69,138,432344,207,432558,true
1,1.0,0.0,1,1,144,30,418625,174,418805,true
3,3.6666667,0.22222221,4,3,194,110,431860,304,432169,true
