num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,typegen_time,match_gen_time,processing_time,program_gen_time,total_time,correct
1,2.0,0.0,2,2,152,54,75,206,307,false
6,3.8333333,0.13888888,4,3,35,132,75,167,244,true
7,2.7142856,1.0612245,4,1,84,50,73,134,209,true
1,3.0,0.0,3,3,6,11,54,17,73,true
1,1.0,0.0,1,1,23,42,48,65,115,true
1,1.0,0.0,1,1,40,28,52,68,121,false
1,1.0,0.0,1,1,20,41,49,61,112,true
2,1.5,0.25,2,1,79,111,68,190,259,false
2,4.0,0.0,4,4,408,116,100,524,626,false
4,2.5,0.25,3,2,1311,136,91,1447,1540,true
5,3.8,0.16,4,3,304,317,113,621,736,true
1,2.0,0.0,2,2,146,23,72,169,242,false
2,1.5,0.25,2,1,43,66,65,109,176,true
1,2.0,0.0,2,2,23,18,57,41,100,true
1,2.0,0.0,2,2,23,41,71,64,137,false
1,2.0,0.0,2,2,102,30,62,132,196,false
1,1.0,0.0,1,1,223,52,77,275,354,true
3,3.6666667,0.22222221,4,3,91,358,487,449,937,false
1,2.0,0.0,2,2,122,27,78,149,229,false
1,4.0,0.0,4,4,19,14,58,33,93,true
1,2.0,0.0,2,2,65,16,66,81,148,true
228,3.9736843,0.034395196,4,2,112,3791,3012,3903,6917,true
2,1.0,0.0,1,1,134,79,74,213,291,true
1,1.0,0.0,1,1,26,8,61,34,96,false
1,4.0,0.0,4,4,155,51,85,206,292,false
2,2.0,0.0,2,2,93,54,71,147,220,true
2,2.0,0.0,2,2,234,138,80,372,452,true
1,2.0,0.0,2,2,444,44,91,488,581,false
6,3.6666667,0.55555564,4,2,492,304,145,796,943,false
2,3.0,1.0,4,2,857,2163,293,3020,3315,false
7,3.7142856,0.20408164,4,3,22,181,101,203,306,true
5,3.4,0.64,4,2,49,163,93,212,307,true
17,3.7058823,0.44290674,4,2,40,178,123,218,342,true
4,2.5,0.25,3,2,88,164,66,252,320,false
1,2.0,0.0,2,2,152,44,85,196,283,true
1,2.0,0.0,2,2,194,62,79,256,337,false
3,1.6666666,0.22222221,2,1,37,43,19410730,80,19410812,true
2,4.0,0.0,4,4,79,184,186,263,455,true
21,3.9047618,0.1814059,4,2,119,902,290,1021,1314,false
7,3.142857,0.6938776,4,2,456,664,235,1120,1358,false
3,2.6666667,1.5555557,4,1,157,1324,221,1481,1706,false
1,1.0,0.0,1,1,506,134,191,640,834,true
3,2.0,0.0,2,2,143,99,164,242,409,false
4,1.75,0.1875,2,1,83,30,126,113,241,true
1,1.0,0.0,1,1,198,102,147,300,450,false
1,1.0,0.0,1,1,92,30,161,122,286,false
1,3.0,0.0,3,3,125,74,144,199,346,true
1,1.0,0.0,1,1,203,44,140,247,391,false
15,4.0,0.0,4,4,214,974,334,1188,1525,false
2,1.5,0.25,2,1,29,63,126,92,222,true
1,1.0,0.0,1,1,321,75,214,396,612,false
1,3.0,0.0,3,3,17,34,155,51,209,false
1,1.0,0.0,1,1,376,65,260,441,704,true
4,2.75,0.1875,3,2,46,50,152,96,252,false
1,4.0,0.0,4,4,259,57,167,316,486,true
2,2.5,0.25,3,2,145,102,157,247,407,true
1,2.0,0.0,2,2,194,80,158,274,435,false
2,4.0,0.0,4,4,70,576,196,646,845,true
1,2.0,0.0,2,2,39,15,135,54,192,false
1,2.0,0.0,2,2,111,32,150,143,296,false
1,2.0,0.0,2,2,804,524,211,1328,1541,false
2,1.5,0.25,2,1,114,92,147,206,356,false
1,4.0,0.0,4,4,14,29,153,43,199,false
2,2.0,0.0,2,2,1749,649,321,2398,2722,true
1,1.0,0.0,1,1,293,61,169,354,526,false
2,2.0,0.0,2,2,52,99,173,151,326,false
1,1.0,0.0,1,1,150,142,1983,292,2278,false
1,2.0,0.0,2,2,109,50,177,159,339,true
