original_total_changes,original_num_types,original_num_params,original_num_generics,original_num_patterns,original_num_nested_patterns,reduced_total_changes,reduced_num_types,reduced_num_params,reduced_num_generics,reduced_num_patterns,reduced_num_nested_patterns,time
31,6,6,4,3,15,12,5,1,3,1,3,21
55,4,4,5,14,42,27,4,2,5,7,16,385
55,3,4,0,7,48,9,3,3,0,1,3,14
18,6,8,1,1,3,11,5,2,1,1,3,14
50,6,10,3,9,31,7,3,1,0,1,3,25
32,8,11,7,2,6,18,7,3,5,1,3,22
20,7,7,0,2,6,10,5,2,0,1,3,12
14,5,5,0,2,4,8,4,2,0,1,2,8
14,3,3,0,3,8,7,3,2,0,1,2,8
17,5,3,3,3,6,14,5,2,3,2,4,30
24,4,2,9,3,9,13,3,1,6,1,3,15
46,3,4,0,7,39,7,3,1,0,1,3,20
29,7,7,9,2,6,13,3,1,6,1,3,22
28,5,6,8,3,9,28,5,6,8,3,9,21
27,5,4,1,6,17,12,5,2,1,2,4,112
122,6,4,10,24,102,15,4,1,7,1,3,22
357,5,5,1,67,346,11,4,2,1,3,4,81
14,5,4,1,2,4,9,4,2,1,1,2,9
24,4,4,4,4,12,14,4,2,4,2,4,27
30,7,6,8,3,9,10,3,1,3,1,3,26
30,8,10,8,2,4,14,5,1,6,1,2,22
32,8,7,12,3,5,22,6,2,10,3,4,57
42,7,6,5,4,24,9,4,2,0,1,3,22
29,6,6,7,4,10,16,5,2,6,2,3,63
1119,4,5,1,137,1109,28,4,4,1,7,19,31738
26,4,3,1,5,18,7,3,1,0,1,3,16
29,5,3,4,6,17,10,3,1,3,1,3,18
40,7,4,9,5,20,8,4,1,0,1,3,27
19,5,7,4,1,3,14,5,2,4,1,3,13
30,4,7,8,4,11,15,3,3,6,1,3,14
24,6,6,0,3,12,9,5,1,0,1,3,18
25,6,4,8,2,7,17,5,1,8,1,3,16
32,8,8,8,2,8,15,5,1,6,1,3,18
16,4,2,0,4,10,7,3,1,0,1,3,16
14,5,7,0,1,2,6,3,1,0,1,2,13
18,4,4,2,2,8,10,3,2,2,1,3,15
23,6,5,2,2,10,11,5,1,2,1,3,14
21,5,6,6,2,4,9,3,1,3,1,2,13
21,6,8,3,2,4,15,5,4,2,2,4,28
25,6,6,1,4,12,8,3,2,0,1,3,20
52,6,3,5,11,38,28,6,2,5,6,15,424
59,7,8,7,9,37,16,5,1,7,1,3,127
15,6,3,4,1,2,15,6,3,4,1,2,0
19,3,4,0,3,12,8,3,2,0,1,3,14
24,4,8,7,2,5,13,3,2,6,1,2,11
44,8,11,6,4,19,13,5,1,4,1,3,28
25,6,5,4,4,10,6,3,1,0,1,2,18
23,8,7,0,2,8,11,6,2,0,1,3,17
40,7,6,2,5,25,7,3,1,0,1,3,24
25,8,6,7,2,4,25,8,6,7,2,4,0
100,7,9,3,14,81,12,5,1,3,1,3,35
10,5,1,0,2,4,6,3,1,0,1,2,12
129,5,6,0,17,118,7,3,1,0,1,3,27
18,5,8,3,1,2,13,5,3,3,1,2,11
27,6,5,6,3,10,16,5,3,6,1,2,15
16,5,4,3,2,4,6,3,1,0,1,2,16
66,6,8,2,9,50,9,5,1,1,1,2,21
99,4,7,6,11,82,12,3,2,4,1,3,30
21,5,4,9,2,3,19,5,2,9,2,3,26
21,5,6,6,1,4,16,5,3,6,1,2,12
20,6,4,3,4,7,13,5,2,3,2,3,75
12,5,2,1,2,4,6,3,1,0,1,2,16
29,5,6,2,6,16,14,4,4,2,2,4,83
23,5,7,6,2,5,14,5,2,5,1,2,16
33,7,7,4,2,15,13,5,2,3,1,3,22
27,7,8,4,4,8,14,5,2,4,2,3,60
22,5,5,6,4,6,22,5,5,6,4,6,0
249,4,7,4,42,234,67,4,7,4,18,52,3179
35,8,11,0,4,16,7,3,2,0,1,2,17
171,4,7,5,32,155,28,4,4,5,7,15,709
21,7,7,1,2,6,13,6,3,1,1,3,16
30,6,10,7,3,7,16,5,2,6,1,3,19
21,4,5,0,3,12,10,4,3,0,1,3,14
130,7,12,6,24,105,130,7,12,6,24,105,0
15,5,2,4,1,4,13,5,1,4,1,3,11
17,5,2,5,2,5,9,3,1,3,1,2,11
27,7,8,6,2,6,27,7,8,6,2,6,0
