original_total_changes,original_num_types,original_num_params,original_num_generics,original_num_patterns,original_num_nested_patterns,reduced_total_changes,reduced_num_types,reduced_num_params,reduced_num_generics,reduced_num_patterns,reduced_num_nested_patterns,time
45,3,6,6,13,30,14,3,2,6,2,3,90
99,6,10,0,28,83,17,6,3,0,4,8,113
98,6,10,0,28,82,17,6,3,0,4,8,145
104,6,10,0,29,88,15,5,3,0,3,7,193
109,6,10,0,30,93,9,5,2,0,1,2,124
98,6,10,0,28,82,17,6,3,0,4,8,121
104,6,10,0,29,88,17,6,3,0,4,8,142
109,6,10,0,30,93,17,6,3,0,4,8,131
104,6,10,0,29,88,17,6,3,0,4,8,171
109,6,10,0,30,93,17,6,3,0,4,8,183
98,6,10,0,28,82,17,6,3,0,4,8,175
104,6,10,0,29,88,17,6,3,0,4,8,156
109,6,10,0,30,93,9,5,1,0,2,3,64
99,6,10,0,28,83,10,5,2,0,2,3,111
99,6,10,0,28,83,9,5,1,0,2,3,71
102,6,10,0,29,86,8,5,1,0,1,2,95
105,6,10,0,30,89,9,5,1,0,2,3,81
102,6,10,0,29,86,16,5,3,0,4,8,181
105,6,10,0,30,89,17,6,3,0,4,8,163
102,6,10,0,29,86,17,6,3,0,4,8,118
105,6,10,0,30,89,8,5,1,0,1,2,131
102,6,10,0,29,86,17,6,3,0,4,8,176
104,6,10,0,29,88,9,5,1,0,2,3,93
109,6,10,0,30,93,17,6,3,0,4,8,179
98,6,10,0,28,82,9,5,1,0,2,3,95
104,6,10,0,29,88,8,5,1,0,1,2,65
109,6,10,0,30,93,9,5,1,0,2,3,89
104,6,10,0,29,88,17,6,3,0,4,8,163
109,6,10,0,30,93,17,6,3,0,4,8,135
98,6,10,0,28,82,9,5,1,0,2,3,66
98,6,10,0,28,82,9,5,1,0,2,3,65
104,6,10,0,29,88,17,6,3,0,4,8,82
109,6,10,0,30,93,15,5,3,0,3,7,117
98,6,10,0,28,82,16,5,3,0,4,8,114
104,6,10,0,29,88,9,5,1,0,2,3,45
109,6,10,0,30,93,17,6,3,0,4,8,137
104,6,10,0,29,88,9,5,1,0,2,3,68
109,6,10,0,30,93,9,5,1,0,2,3,68
104,6,10,0,29,88,17,6,3,0,4,8,171
109,6,10,0,30,93,10,5,2,0,2,3,100
98,6,10,0,28,82,15,5,3,0,3,7,179
102,6,10,0,29,86,9,5,1,0,2,3,84
105,6,10,0,30,89,18,6,3,0,4,9,157
99,6,10,0,28,83,9,5,1,0,2,3,80
102,6,10,0,29,86,17,6,3,0,4,8,183
99,6,10,0,28,83,17,6,3,0,4,8,152
102,6,10,0,29,86,17,6,3,0,4,8,179
98,6,10,0,28,82,8,5,1,0,1,2,85
103,6,10,0,29,87,17,6,3,0,4,8,163
107,6,10,0,30,91,17,6,3,0,4,8,160
98,6,10,0,28,82,17,6,3,0,4,8,110
103,6,10,0,29,87,17,6,3,0,4,8,130
107,6,10,0,30,91,15,5,3,0,3,7,175
103,6,10,0,29,87,9,5,1,0,2,3,116
107,6,10,0,30,91,9,5,1,0,2,3,39
