original_total_changes,original_num_types,original_num_params,original_num_generics,original_num_patterns,original_num_nested_patterns,reduced_total_changes,reduced_num_types,reduced_num_params,reduced_num_generics,reduced_num_patterns,reduced_num_nested_patterns,time
25,4,4,5,3,12,9,3,1,3,1,2,11
19,4,4,5,2,6,11,3,2,3,1,3,15
19,4,4,5,2,6,10,3,2,3,1,2,10
22,4,4,5,3,9,9,3,1,3,1,2,16
15,4,4,5,1,2,10,3,2,3,1,2,4
21,4,4,5,2,8,9,3,1,3,1,2,11
21,4,4,5,2,8,9,3,1,3,1,2,11
17,4,4,5,1,4,9,3,1,3,1,2,10
22,4,4,5,3,9,11,3,2,3,1,3,11
19,4,4,5,2,6,11,3,2,3,1,3,11
16,4,4,5,1,3,11,3,2,3,1,3,5
16,4,4,5,1,3,11,3,2,3,1,3,5
17,4,4,5,1,4,9,3,1,3,1,2,9
22,4,4,5,3,9,11,3,2,3,1,3,12
16,4,4,5,1,3,9,3,1,3,1,2,10
25,4,4,5,3,12,9,3,1,3,1,2,12
16,4,4,5,1,3,10,3,2,3,1,2,8
9,2,3,1,1,3,9,2,3,1,1,3,0
8,2,3,1,1,2,8,2,3,1,1,2,0
6,2,1,1,1,2,6,2,1,1,1,2,0
8,2,3,1,1,2,8,2,3,1,1,2,0
7,2,3,1,1,1,7,2,3,1,1,1,0
5,2,1,1,1,1,5,2,1,1,1,1,0
15,4,3,6,1,2,13,4,1,6,1,2,9
19,4,3,6,2,6,14,4,1,6,1,3,12
19,4,3,6,2,6,16,4,3,6,1,3,14
16,4,3,6,1,3,14,4,1,6,1,3,13
16,4,3,6,1,3,16,4,3,6,1,3,6
15,4,3,6,1,2,13,4,1,6,1,2,9
22,5,4,9,1,4,10,2,1,4,1,3,11
17,4,3,5,2,5,17,4,3,5,2,5,0
18,4,3,5,2,6,8,3,1,2,1,2,11
17,4,3,5,2,5,17,4,3,5,2,5,0
22,5,4,9,1,4,10,2,1,4,1,3,12
15,4,3,5,1,3,15,4,3,5,1,3,0
14,4,3,5,1,2,8,3,1,2,1,2,6
15,4,3,5,1,3,15,4,3,5,1,3,0
17,4,3,5,2,5,17,4,3,5,2,5,0
14,6,6,0,1,2,5,2,1,0,1,2,11
7,3,2,0,1,2,5,2,1,0,1,2,9
7,3,2,0,1,2,5,2,1,0,1,2,9
14,6,6,0,1,2,5,2,1,0,1,2,12
10,2,3,3,1,2,8,2,1,3,1,2,8
10,2,3,3,1,2,8,2,1,3,1,2,8
15,4,6,3,1,2,7,2,1,2,1,2,12
15,4,6,3,1,2,7,2,1,2,1,2,12
14,4,4,2,1,4,8,3,1,2,1,2,11
18,4,4,2,2,8,8,3,1,2,1,2,12
14,4,4,2,1,4,11,4,3,2,1,2,8
13,4,4,2,1,3,8,3,1,2,1,2,11
13,4,4,2,1,3,8,3,1,2,1,2,11
16,4,6,3,1,3,7,2,1,2,1,2,12
18,4,4,2,2,8,8,3,1,2,1,2,12
18,4,4,2,2,8,8,3,1,2,1,2,11
14,4,4,2,1,4,13,4,4,2,1,3,12
16,4,3,5,2,4,10,3,2,3,1,2,16
6,2,0,3,1,1,6,2,0,3,1,1,0
16,4,3,5,2,4,10,3,2,3,1,2,18
37,6,7,11,4,13,11,3,1,5,1,2,17
36,6,7,11,4,12,11,3,1,5,1,2,14
36,6,7,11,4,12,11,3,1,5,1,2,19
33,6,7,11,3,9,11,3,1,5,1,2,15
36,6,7,11,4,12,11,3,1,5,1,2,14
37,6,7,11,4,13,11,3,1,5,1,2,18
32,6,7,11,3,8,11,3,1,5,1,2,14
36,6,7,11,4,12,11,3,1,5,1,2,17
36,6,7,11,4,12,11,3,1,5,1,2,14
33,6,7,11,3,9,11,3,1,5,1,2,17
36,6,7,11,4,12,11,3,1,5,1,2,16
34,6,7,11,3,10,11,3,1,5,1,2,13
36,6,7,11,4,12,11,3,1,5,1,2,19
26,3,4,5,5,14,26,3,4,5,5,14,0
18,3,4,5,3,6,18,3,4,5,3,6,0
21,3,4,5,4,9,21,3,4,5,4,9,0
22,3,4,5,4,10,22,3,4,5,4,10,0
9,2,2,1,2,4,9,2,2,1,2,4,0
17,3,4,5,3,5,17,3,4,5,3,5,0
10,2,2,1,2,5,10,2,2,1,2,5,0
7,2,2,1,1,2,7,2,2,1,1,2,0
10,2,2,1,2,5,10,2,2,1,2,5,0
27,3,4,5,5,15,27,3,4,5,5,15,0
21,3,4,5,4,9,21,3,4,5,4,9,0
21,3,4,5,4,9,21,3,4,5,4,9,0
22,3,4,5,4,10,22,3,4,5,4,10,0
7,2,2,1,1,2,7,2,2,1,1,2,0
10,2,2,1,2,5,10,2,2,1,2,5,0
10,2,2,1,2,5,10,2,2,1,2,5,0
10,2,2,1,2,5,10,2,2,1,2,5,0
10,2,2,1,2,5,10,2,2,1,2,5,0
24,3,4,5,5,12,24,3,4,5,5,12,0
21,3,4,5,4,9,21,3,4,5,4,9,0
88,7,8,7,18,66,88,7,8,7,18,66,0
100,7,8,7,20,78,100,7,8,7,20,78,0
88,7,8,7,18,66,88,7,8,7,18,66,0
100,7,8,7,20,78,100,7,8,7,20,78,0
23,4,6,3,2,10,11,4,2,3,1,2,13
94,7,8,7,19,72,94,7,8,7,19,72,0
23,4,6,3,2,10,11,4,2,3,1,2,11
91,7,8,7,18,69,91,7,8,7,18,69,0
93,7,8,7,19,71,93,7,8,7,19,71,0
13,3,5,3,1,2,8,2,2,2,1,2,12
106,7,8,7,21,84,106,7,8,7,21,84,0
18,4,6,3,1,5,15,4,5,3,1,3,12
94,7,8,7,19,72,94,7,8,7,19,72,0
100,7,8,7,20,78,100,7,8,7,20,78,0
