num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,enumeration_time,typegen_time,solver_time,processing_time,total_time,program_gen_time,result
42,2.952381,0.045351494,3,2,552,119,12986,240,27657,135,Unsat
13,3.0,0.0,3,3,552,119,19898,143,29970,144,Sat
4,3.0,0.0,3,3,552,119,0,86,667,129,Sat
1,3.0,0.0,3,3,552,119,4854,96,9344,123,Sat
1,3.0,0.0,3,3,552,119,0,77,616,122,Sat
1,2.0,0.0,2,2,433,43,7544,96,11710,48,Unsat
5,3.0,0.0,3,3,433,43,12554,156,17113,47,Unsat
3,2.3333333,0.22222221,3,2,279,20,3343,102,7204,26,Unsat
3,2.3333333,0.22222221,3,2,279,20,3949,101,7891,24,Unsat
4,2.75,0.1875,3,2,337,32,6891,104,10865,37,Unsat
3,2.6666667,0.22222221,3,2,337,32,8263,108,12215,37,Unsat
2,3.0,0.0,3,3,337,32,6521,109,10671,35,Sat
2,3.0,0.0,3,3,337,32,9313,108,13530,35,Sat
1,3.0,0.0,3,3,170,28,6134,120,10059,31,Unsat
1,2.0,0.0,2,2,170,28,3805,124,7716,30,Unsat
46,2.9130435,0.0793951,3,2,922,59,35363,273,41351,69,Unsat
10,2.8,0.15999997,3,2,922,59,27910,172,32974,96,Sat
1,3.0,0.0,3,3,922,59,0,323,892,68,Sat
1,3.0,0.0,3,3,922,59,4298,147,8860,61,Sat
2,3.0,0.0,3,3,922,59,4698,128,9156,62,Sat
1,2.0,0.0,2,2,260,23,0,93,641,31,Sat
4,2.25,0.1875,3,2,260,23,2782,104,6716,25,Sat
1,1.0,0.0,1,1,260,23,2931,96,6818,27,Sat
1,3.0,0.0,3,3,260,23,2714,110,6612,25,Sat
1,3.0,0.0,3,3,236,34,10737,122,15056,38,Sat
5,2.8,0.16,3,2,236,34,14114,686368,704768,38,Sat
1,2.0,0.0,2,2,236,34,20849,297,30838,54,Unsat
1,3.0,0.0,3,3,236,34,0,248,1581,42,Sat
1,3.0,0.0,3,3,320,25,6016,238,14971,38,Unsat
1,2.0,0.0,2,2,320,25,4635,207,13000,30,Unsat
2,3.0,0.0,3,3,265,66,6971,120,11301,72,Unsat
1,3.0,0.0,3,3,265,66,0,94,637,70,Sat
1,3.0,0.0,3,3,265,66,9278,163,13276,68,Unsat
2,3.0,0.0,3,3,265,66,0,92,639,68,Sat
1,2.0,0.0,2,2,265,66,0,79,598,69,Sat
1,2.0,0.0,2,2,265,66,5380,272129,281311,67,Unsat
2,2.0,0.0,2,2,427,111,0,248,1657,116,Sat
8,1.875,0.109375,2,1,427,111,13159,371,23433,118,Unsat
1,2.0,0.0,2,2,427,111,0,207,1536,122,Sat
1,2.0,0.0,2,2,266,37,7632,274,17126,51,Unsat
1,2.0,0.0,2,2,266,37,0,233,1537,41,Sat
4,1.75,0.1875,2,1,297,69,10352,267,18262,76,Unsat
1,2.0,0.0,2,2,297,69,6167,123,11776,75,Sat
1,1.0,0.0,1,1,148,57,5815,116,10165,60,Unsat
6,3.3333333,0.5555556,4,2,292,15,3531,140,7737,26,Sat
4,3.5,0.25,4,3,292,15,3345,127,7425,23,Sat
1,2.0,0.0,2,2,292,15,3003,98,6966,19,Sat
1,4.0,0.0,4,4,292,15,4309,107,8355,16,Sat
3,3.0,0.0,3,3,188,25,4472,117,8601,28,Unsat
1,2.0,0.0,2,2,188,25,3272,154,7223,31,Unsat
1,3.0,0.0,3,3,131,9,2527,139,6293,11,Unsat
1,2.0,0.0,2,2,131,9,2385,117,6104,10,Unsat
5,2.4,0.24000001,3,2,326,44,12768,118,17198,54,Unsat
13,2.8461537,0.13017748,3,2,326,44,32366,168,37674,50,Sat
1,3.0,0.0,3,3,326,44,8404,158,12937,55,Sat
20,2.95,0.047500003,3,2,816,47,630409,0,649242,55,Unknown
34,2.9411764,0.055363327,3,2,816,47,8789,337,18387,193,Sat
8,3.0,0.0,3,3,816,47,5655,311375,322242,83,Sat
3,3.0,0.0,3,3,816,47,19418,313,30577,85,Sat
4,2.75,0.1875,3,2,816,47,5599,135,14259,60,Sat
1,3.0,0.0,3,3,816,47,3472,133,7932,55,Sat
5,3.0,0.0,3,3,816,47,4475,130,9504,50,Sat
1,3.0,0.0,3,3,816,47,3466,126,7887,54,Sat
2,2.5,0.25,3,2,363,33,3360,112,7567,38,Sat
1,3.0,0.0,3,3,363,33,3262,105,7427,36,Sat
2,3.0,0.0,3,3,363,33,4180,119,8413,35,Sat
1,2.0,0.0,2,2,363,33,2958,148,7138,35,Sat
3,2.6666667,0.22222221,3,2,298,51,14434,261,18980,57,Unsat
3,2.6666667,0.22222221,3,2,298,51,622727,0,632339,55,Unknown
1,3.0,0.0,3,3,298,51,0,190,911,70,Sat
1,3.0,0.0,3,3,298,51,18125,200,23083,54,Sat
22,2.590909,0.33264473,3,1,377,26,2478,168,6713,30,Unsat
10,2.8,0.16,3,2,377,26,3583,144,7753,35,Sat
3,2.6666667,0.22222221,3,2,377,26,2857,144,6924,31,Sat
2,2.5,0.25,3,2,162,25,3138,124,7117,27,Unsat
1,3.0,0.0,3,3,162,25,0,89,623,27,Sat
3,3.0,0.0,3,3,205,39,3907,203,8394,43,Sat
5,2.4,0.24000001,3,2,205,39,2902,125,7094,42,Unsat
1,3.0,0.0,3,3,205,39,4370,301067,309619,42,Sat
1,2.0,0.0,2,2,205,39,15766,148,20641,47,Sat
4,2.75,0.1875,3,2,239,63,9720,146,14462,68,Sat
1,2.0,0.0,2,2,239,63,0,89,635,69,Sat
2,2.5,0.25,3,2,239,63,8913,155,13401,65,Unsat
1,2.0,0.0,2,2,239,63,9403,160,14243,66,Sat
1,1.0,0.0,1,1,146,11,2391,132,6134,17,Unsat
36,3.0833333,0.24305566,4,2,967,59,136027,273148,415190,67,Unsat
12,3.0833333,0.24305557,4,2,967,59,61461,241,73440,181,Sat
9,3.0,0.0,3,3,967,59,697675,0,707845,75,Unknown
7,3.5714285,0.24489796,4,3,967,59,17995,259,28375,114,Sat
5,2.8,0.16,3,2,967,59,14119,185,19152,73,Sat
1,3.0,0.0,3,3,471,48,4126,164,8451,52,Sat
1,2.0,0.0,2,2,471,48,4646,139,8864,50,Sat
3,3.3333333,0.88888884,4,2,471,48,5139,142,9278,50,Unsat
1,3.0,0.0,3,3,471,48,4160,113,8390,52,Sat
9,2.5555556,0.2469136,3,2,252,20,5357,129,9458,27,Unsat
1,3.0,0.0,3,3,252,20,0,97,640,26,Sat
3,2.6666667,0.22222221,3,2,252,20,0,101,635,22,Sat
1,1.0,0.0,1,1,112,10,2423,112,6154,12,Unsat
32,3.78125,0.17089844,4,3,1890,19,4067,234,9320,25,Sat
97,3.7525773,0.3099162,4,1,1890,19,5954,405,13121,47,Unsat
15,3.7333333,0.32888895,4,2,1890,19,3549,170,8168,72,Sat
13,3.9230769,0.07100592,4,3,1890,19,3626,194,8165,29,Sat
3,3.0,0.6666667,4,2,1890,19,2743,291239,297947,27,Sat
1,3.0,0.0,3,3,1890,19,8519,254,18414,34,Sat
1,3.0,0.0,3,3,1890,19,8631,324,18277,24,Sat
1,1.0,0.0,1,1,264,66,5037,230,12713,69,Unsat
3,3.3333333,0.22222221,4,3,472,54,7244,228,15263,59,Sat
3,3.3333333,0.88888884,4,2,472,54,4822,130,9972,61,Sat
1,2.0,0.0,2,2,472,54,3681,146,7860,60,Sat
3,3.3333333,0.88888884,4,2,472,54,3582,139,7858,56,Sat
1,4.0,0.0,4,4,472,54,4989,168,21804,63,Sat
1,4.0,0.0,4,4,472,54,6259,164,10696,57,Sat
1,4.0,0.0,4,4,472,54,0,91,635,56,Sat
2,2.5,0.25,3,2,412,33,3398,137,7724,39,Sat
5,2.8,0.16,3,2,412,33,24879,158,29656,37,Sat
14,2.9285715,0.066326536,3,2,412,33,4055,172,9444,50,Sat
1,3.0,0.0,3,3,412,33,6055,170,10418,50,Sat
6,3.0,0.0,3,3,412,33,3825,161,8589,35,Sat
1,3.0,0.0,3,3,412,33,6111,181,10355,39,Sat
4,2.5,0.25,3,2,356,21,3679,152,7682,25,Unsat
2,3.0,0.0,3,3,356,21,0,303506,304049,25,Sat
2,3.0,0.0,3,3,356,21,10501,307,20125,34,Unsat
1,1.0,0.0,1,1,205,33,6911,279,16090,38,Unsat
6,3.0,0.0,3,3,572,69,7873,245,17979,78,Sat
12,2.75,0.1875,3,2,572,69,13766,165,21701,87,Unsat
4,2.75,0.1875,3,2,572,69,14116,135,18553,85,Sat
2,3.0,0.0,3,3,572,69,3698,148,8072,73,Sat
3,2.6666667,0.22222221,3,2,282,52,10782,151,15419,56,Sat
7,2.5714285,0.24489796,3,2,282,52,4023,139,8622,56,Sat
11,2.3636363,0.4132231,3,1,282,52,9975,150,14609,59,Sat
2,2.5,0.25,3,2,282,52,0,92,637,60,Sat
2,2.0,0.0,2,2,282,52,9909,131,14480,54,Sat
9,2.2222223,0.3950617,3,1,421,39,4721,111,9051,42,Sat
11,2.5454545,0.24793388,3,2,421,39,3235,142,7555,45,Sat
3,3.0,0.0,3,3,421,39,2891,122,7141,44,Sat
1,2.0,0.0,2,2,421,39,0,126,662,43,Sat
1,2.0,0.0,2,2,421,39,0,88,609,40,Sat
4,2.75,0.1875,3,2,203,17,2727,154,6692,21,Unsat
2,2.5,0.25,3,2,203,17,3086,212,7169,20,Sat
4,3.0,0.0,3,3,311,24,9052,153,13396,27,Sat
15,2.8,0.15999995,3,2,311,24,6911,184,11387,31,Unsat
3,3.0,0.0,3,3,311,24,3622,301077,308772,38,Sat
4,3.0,0.0,3,3,311,24,504259,0,513504,41,Unknown
1,3.0,0.0,3,3,311,24,6713,180,11106,43,Sat
1,1.0,0.0,1,1,217,12,2409,135,6182,13,Unsat
7,2.5714285,0.5306121,3,1,344,40,10360,147,14981,43,Sat
9,2.6666667,0.22222222,3,2,344,40,4121,142,8652,45,Sat
3,2.6666667,0.22222221,3,2,344,40,3088,115,7475,45,Sat
1,3.0,0.0,3,3,344,40,3676,129,8022,43,Sat
1,2.0,0.0,2,2,344,40,3645,153,8004,43,Sat
18,2.7777777,0.17283946,3,2,355,24,3538,215,8665,35,Sat
4,2.5,0.25,3,2,355,24,3186,141,7441,54,Sat
3,2.6666667,0.22222221,3,2,355,24,3122,127,7357,30,Sat
1,3.0,0.0,3,3,355,24,4556,133,8644,29,Sat
1,2.0,0.0,2,2,355,24,4440,125,8552,27,Sat
1,1.0,0.0,1,1,355,24,3535,111,7601,27,Sat
1,3.0,0.0,3,3,273,18,0,92,645,20,Sat
5,2.6,0.24000001,3,2,273,18,3253,142,7142,20,Unsat
3,3.0,0.0,3,3,273,18,3683,140,7622,25,Unsat
1,3.0,0.0,3,3,273,18,0,87,625,22,Sat
1,3.0,0.0,3,3,273,18,4369,122,8245,19,Unsat
1,3.0,0.0,3,3,273,18,0,97,637,20,Sat
14,2.9285715,0.066326536,3,2,569,32,9228,300779,314427,38,Sat
11,2.909091,0.08264463,3,2,569,32,18664,321,30010,71,Sat
5,2.8,0.16,3,2,569,32,597836,0,612531,50,Unknown
5,2.8,0.16,3,2,569,32,11968,208,16757,79,Sat
1,3.0,0.0,3,3,569,32,3954,150,8302,37,Sat
1,3.0,0.0,3,3,569,32,7399,111,11704,34,Sat
2,2.0,0.0,2,2,255,26,2868,316611,323281,29,Unsat
12,2.6666667,0.22222222,3,2,353,62,7516,322,17830,71,Sat
16,2.8125,0.15234375,3,2,353,62,8500,334,18768,79,Sat
2,3.0,0.0,3,3,353,62,6899,326,15462,78,Sat
