num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,enumeration_time,typegen_time,solver_time,processing_time,total_time,program_gen_time,result
12,2.8333333,0.13888888,3,2,1392,430,8008,1005159,1041809,448,Sat
1,1.0,0.0,1,1,1392,430,576985,0,601590,508,Unknown
27,2.851852,0.12620029,3,2,1392,430,3915,756230,765863,446,Sat
1,3.0,0.0,3,3,1392,430,3103,748426,755896,499,Sat
2,2.0,1.0,3,1,928,514,81049,754238,845329,523,Sat
1,3.0,0.0,3,3,928,514,3282,757289,765114,527,Sat
4,2.5,0.25,3,2,928,514,8662,744565,763869,536,Sat
1,3.0,0.0,3,3,928,514,7832,760907,778879,552,Sat
1,3.0,0.0,3,3,928,514,3306,746517,754303,524,Sat
9,2.8888888,0.09876542,3,2,214,30,2880,49369832,49376782,33,Unsat
6,3.0,0.0,3,3,214,30,8942,715438,732212,51,Sat
2,3.0,0.0,3,3,214,30,504378,0,508477,41,Unknown
1,2.0,0.0,2,2,214,30,181707,722012,909904,54,Sat
1,3.0,0.0,3,3,268,120,7074,843679,854928,125,Unsat
1,2.0,0.0,2,2,268,120,9071,842816,861323,134,Unsat
1,1.0,0.0,1,1,167,275,3980,863004,871210,279,Unsat
4,2.75,0.1875,3,2,641,105,8120,778710,796229,117,Unsat
2,3.0,0.0,3,3,641,105,5711,835448,845171,123,Unsat
2,3.0,0.0,3,3,641,105,4801,897452,906320,120,Unsat
5,2.8,0.16,3,2,546,77,12047,752238,768906,83,Sat
2,3.0,0.0,3,3,546,77,13179,757070,780247,98,Sat
2,2.5,0.25,3,2,546,77,635063,0,656987,90,Unknown
1,3.0,0.0,3,3,546,77,7183,757191,768893,107,Sat
24,3.0,0.0,3,3,2156,87,503881,0,513974,100,Unknown
41,2.9756098,0.023795344,3,2,2156,87,3591,760163,768689,166,Sat
7,2.857143,0.12244899,3,2,2156,87,503746,0,511412,205,Unknown
2,3.0,0.0,3,3,2156,87,12059,743864,760058,122,Sat
2,3.0,0.0,3,3,2156,87,26396,754688,791013,105,Sat
3,2.6666667,0.22222221,3,2,2156,87,4048,724254,732552,95,Sat
1,3.0,0.0,3,3,2156,87,9813,737884,757409,109,Sat
1,2.0,0.0,2,2,467,88,7115,845869,862179,95,Unsat
1,3.0,0.0,3,3,467,88,3212,841269,848523,93,Unsat
9,2.8888888,0.098765425,3,2,1560,264,4604,832083,841267,296,Unsat
4,2.75,0.1875,3,2,1560,264,627581,0,647238,328,Unknown
1,3.0,0.0,3,3,1560,264,4410,752081,763305,434,Sat
1,3.0,0.0,3,3,1560,264,503665,0,512732,277,Unknown
1,3.0,0.0,3,3,631,51,3300,840427,847554,55,Unsat
1,2.0,0.0,2,2,631,51,3051,819052,826108,59,Unsat
1,2.0,0.0,2,2,371,152,4632,848501,857316,158,Unsat
1,3.0,0.0,3,3,371,152,5366,855889,865398,160,Unsat
3,2.3333333,0.22222221,3,2,229,61,3148,783826,791177,68,Unsat
2,3.0,0.0,3,3,229,61,8790,752959,771668,75,Sat
1,2.0,0.0,2,2,229,61,3659,749893,757902,70,Sat
2,3.0,0.0,3,3,229,61,4262,743656,752253,66,Sat
23,2.6956522,0.21172021,3,2,557,66,9556,746051,766174,77,Sat
8,2.875,0.109375,3,2,557,66,7125,754860,772020,108,Sat
2,2.5,0.25,3,2,557,66,10777,756814,777278,88,Sat
2,1.5,0.25,2,1,557,66,3120,766202,773534,79,Sat
1,3.0,0.0,3,3,557,66,8303,758184,776156,73,Sat
1,3.0,0.0,3,3,557,66,3278,760618,768060,71,Sat
1,3.0,0.0,3,3,607,889,11215,852421,873500,908,Unsat
1,2.0,0.0,2,2,607,889,2911,838441,845683,909,Unsat
8,2.875,0.109375,3,2,249,57,6158,796889,812378,64,Unsat
1,3.0,0.0,3,3,249,57,3470,730546,738087,74,Sat
1,3.0,0.0,3,3,501,173,4156,838784,847257,183,Unsat
1,2.0,0.0,2,2,501,173,3032,849892,857111,191,Unsat
4,1.75,0.1875,2,1,481,72,3516,777916,785542,76,Unsat
5,3.0,0.0,3,3,481,72,9246,739129,752814,83,Sat
1,2.0,0.0,2,2,481,72,2893,747129,754271,86,Sat
2,2.0,0.0,2,2,149,141,2852,782746,789697,146,Unsat
1,1.0,0.0,1,1,175,430,4308,868902,877571,434,Unsat
1,1.0,0.0,1,1,148,40,2728,808185,814958,41,Unsat
1,2.0,0.0,2,2,320,132,6423,740709,751522,137,Sat
1,2.0,0.0,2,2,320,132,14158,732586,756722,143,Sat
1,3.0,0.0,3,3,320,132,593761,0,603174,139,Unknown
1,1.0,0.0,1,1,320,132,6034,731998,750901,152,Sat
13,2.9230769,0.07100592,3,2,438,75,8591,818051,831294,87,Unsat
2,2.5,0.25,3,2,438,75,13503,741648,764987,131,Sat
2,2.5,0.25,3,2,349,88,6820,761717,777735,96,Unsat
1,3.0,0.0,3,3,349,88,11230,833715,854278,101,Unsat
1,3.0,0.0,3,3,349,88,3213,829639,836940,97,Unsat
1,1.0,0.0,1,1,158,168,4136,860013,868237,172,Unsat
2,2.5,0.25,3,2,158,41,2597,759374,765946,43,Unsat
1,2.0,0.0,2,2,158,41,3243,725076,732405,49,Sat
1,3.0,0.0,3,3,158,41,7540,733388,750342,53,Sat
13,2.8461537,0.13017748,3,2,543,210,15957,825845,847128,224,Unsat
1,3.0,0.0,3,3,543,210,5004,766136,775926,261,Sat
