original_total_changes,original_num_types,original_num_params,original_num_generics,original_num_patterns,original_num_nested_patterns,reduced_total_changes,reduced_num_types,reduced_num_params,reduced_num_generics,reduced_num_patterns,reduced_num_nested_patterns,time
33,4,8,0,8,21,17,4,2,0,5,11,71
90,4,8,0,24,78,18,4,3,0,5,11,144
48,7,10,2,10,29,19,6,3,2,4,8,109
77,4,5,0,23,68,7,3,1,0,2,3,70
250,8,16,0,73,226,10,5,1,0,3,4,188
47,7,7,3,13,30,23,6,2,2,7,13,64
20,4,6,3,3,7,15,3,2,3,3,7,35
36,4,6,6,7,20,19,3,3,5,4,8,88
32,7,6,9,4,10,25,6,3,9,3,7,40
21,3,3,0,5,15,6,3,1,0,1,2,38
32,4,5,0,9,23,17,4,2,0,5,11,62
42,3,5,3,11,31,17,3,3,3,4,8,143
43,3,5,0,13,35,14,3,3,0,4,8,99
29,3,5,0,8,21,13,3,2,0,4,8,106
36,7,6,3,8,20,21,6,2,2,5,11,68
38,4,5,0,12,29,19,4,2,0,7,13,62
25,3,3,0,7,19,14,3,3,0,4,8,76
25,3,5,3,6,14,16,3,2,3,4,8,39
40,7,10,10,5,13,24,6,2,9,3,7,52
17,3,3,0,5,11,7,3,1,0,2,3,27
38,4,6,0,9,28,17,4,2,0,5,11,97
38,4,7,0,10,27,6,3,1,0,1,2,52
19,3,6,3,3,7,9,3,1,3,1,2,31
58,3,4,3,16,48,19,3,3,3,5,10,76
44,7,8,7,7,22,19,5,3,4,3,7,93
35,4,4,0,10,27,17,4,2,0,5,11,74
32,3,4,2,8,23,10,3,2,2,2,3,65
45,3,5,0,13,37,14,3,3,0,4,8,95
88,7,7,6,21,68,24,6,2,5,5,11,106
30,3,3,0,9,24,13,3,2,0,4,8,40
33,3,6,3,9,21,11,3,2,3,2,3,69
37,7,8,7,6,15,25,7,2,7,4,9,66
27,6,7,5,4,9,14,5,1,5,2,3,56
57,6,10,6,14,35,18,6,2,6,3,4,142
27,3,5,0,7,19,7,3,1,0,2,3,51
26,3,3,3,7,17,16,3,2,3,4,8,42
26,5,7,5,4,9,14,5,1,5,2,3,49
62,3,3,3,17,53,16,3,3,3,3,7,61
28,4,5,4,6,15,9,3,1,3,1,2,57
124,4,6,0,37,114,9,3,2,0,3,4,89
20,3,3,4,4,10,10,3,1,4,1,2,31
74,3,5,0,23,66,13,3,2,0,4,8,99
51,7,9,6,11,29,23,6,2,4,5,11,72
25,4,6,0,6,15,17,4,2,0,5,11,75
51,7,12,2,12,30,12,5,1,2,3,4,89
90,3,6,3,25,78,17,3,3,3,4,8,146
32,6,10,9,3,7,15,5,1,7,1,2,45
18,3,4,3,4,8,10,3,1,3,2,3,33
29,4,5,0,8,20,17,4,2,0,5,11,68
28,3,4,0,7,21,6,3,1,0,1,2,36
75,8,8,7,18,52,26,7,3,6,5,10,172
23,3,3,3,6,14,17,3,3,3,4,8,79
35,7,11,2,7,15,22,6,2,1,7,13,86
24,3,4,3,6,14,18,3,4,3,4,8,49
139,8,10,8,37,113,32,8,3,8,7,13,127
25,3,4,0,6,18,13,3,3,0,3,7,74
35,3,3,6,7,23,19,3,3,6,3,7,62
42,4,6,0,12,32,17,4,2,0,5,11,63
42,4,4,4,9,30,9,3,1,3,1,2,62
79,4,6,4,21,65,22,4,3,4,5,11,120
35,7,5,6,5,17,18,5,2,4,3,7,55
160,8,7,4,43,141,25,7,3,4,5,11,134
131,7,11,5,33,108,12,5,1,4,1,2,99
85,7,11,5,20,62,25,6,3,5,5,11,183
22,4,3,3,5,12,18,4,2,3,4,9,50
70,7,9,6,16,48,26,7,3,6,5,10,166
19,3,2,6,4,8,19,3,2,6,4,8,18
58,7,8,3,14,40,24,6,2,3,7,13,89
135,4,5,4,39,122,24,4,3,4,7,13,174
38,3,5,0,10,30,8,3,2,0,2,3,93
87,4,7,2,24,74,22,4,3,2,7,13,128
30,3,6,3,6,18,9,3,1,3,1,2,38
46,3,6,3,10,34,15,3,2,3,3,7,95
19,3,6,3,3,7,15,3,2,3,3,7,36
39,3,4,0,13,32,13,3,2,0,4,8,54
141,4,4,0,40,133,6,3,1,0,1,2,51
61,4,5,0,20,52,19,4,2,0,7,13,167
12,3,2,0,3,7,12,3,2,0,3,7,14
50,4,8,3,11,35,16,3,3,3,3,7,58
132,6,5,4,35,117,26,6,3,4,7,13,140
19,3,2,0,6,14,13,3,2,0,4,8,33
32,6,10,6,4,10,21,6,2,6,3,7,43
22,4,3,5,4,10,17,3,2,5,3,7,29
43,7,6,6,11,24,26,7,2,6,6,11,130
90,6,9,4,24,71,25,6,2,4,7,13,135
42,7,6,5,9,24,23,6,2,4,5,11,63
99,4,6,6,25,83,24,4,3,6,5,11,152
30,5,6,0,7,19,8,5,1,0,1,2,44
57,6,10,10,11,31,26,5,3,10,4,8,123
41,4,7,8,8,22,12,3,1,6,1,2,75
28,3,4,0,9,21,13,3,2,0,4,8,48
