num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,enumeration_time,typegen_time,solver_time,processing_time,total_time,program_gen_time,result
2,1.5,0.25,2,1,606,275,5721,116,30741,284,Sat
1,3.0,0.0,3,3,606,275,3197,94,13657,277,Sat
5,2.8,0.16,3,2,606,275,8330,116,17768,278,Sat
6,2.3333333,0.22222221,3,2,606,275,3227,111,7349,281,Sat
5,2.4,0.24000001,3,2,606,275,7391,130,11591,280,Sat
6,2.8333333,0.13888888,3,2,283,32,7573,134,11688,34,Sat
7,3.0,0.0,3,3,283,32,3998,110,7928,36,Unsat
8,3.0,0.0,3,3,283,32,109564,189,113985,37,Sat
1,2.0,0.0,2,2,283,32,3321,92,7378,38,Sat
1,3.0,0.0,3,3,283,32,3471,101,7453,34,Sat
1,3.0,0.0,3,3,283,32,54280,164,58518,34,Sat
1,1.0,0.0,1,1,222,24,2685,93,6547,25,Sat
1,1.0,0.0,1,1,222,24,2600,98,6396,25,Sat
1,1.0,0.0,1,1,99,63,2860,98,6572,65,Unsat
2,3.0,0.0,3,3,152,14,2701,98,6497,16,Unsat
4,3.0,0.0,3,3,152,14,3069,98,6883,16,Unsat
1,2.0,0.0,2,2,152,14,2448,103,6141,18,Unsat
1,3.0,0.0,3,3,152,14,2645,114,6403,15,Unsat
5,1.8,0.16,2,1,343,59,3062,125,7195,62,Sat
4,2.25,0.6875,3,1,343,59,3481,117,7547,62,Sat
1,2.0,0.0,2,2,343,59,0,81,618,62,Sat
2,3.0,0.0,3,3,222,31,4013,107,7924,36,Unsat
1,3.0,0.0,3,3,222,31,4275,101,8058,36,Unsat
1,2.0,0.0,2,2,222,31,2954,104,6734,35,Unsat
10,2.0,0.2,3,1,352,142,11958,120,16198,149,Unsat
1,2.0,0.0,2,2,352,142,4937,2351856,2361006,150,Sat
1,1.0,0.0,1,1,203,507,11369,177,15940,515,Unsat
2,2.5,0.25,3,2,333,56,4607,129,8622,59,Unsat
2,2.0,0.0,2,2,333,56,8087,117,12243,60,Sat
10,2.6,0.24000001,3,2,333,56,4666,142,8875,60,Unsat
3,2.6666667,0.22222221,3,2,333,56,6029,115,9970,64,Unsat
1,3.0,0.0,3,3,333,56,29384,685,34310,59,Sat
6,3.0,0.0,3,3,453,405,582769,0,592038,417,Unknown
3,2.6666667,0.22222221,3,2,453,405,3806,214,11232,454,Sat
2,3.0,0.0,3,3,453,405,12735,150,17360,409,Sat
2,2.5,0.25,3,2,453,405,9054,141,13580,409,Sat
4,3.5,0.75,4,2,464,25,2658,110,6659,31,Unsat
1,4.0,0.0,4,4,464,25,4145,125,8208,32,Sat
9,3.4444444,0.46913576,4,2,502,103,2838,2139995,2147045,110,Unsat
4,3.75,0.1875,4,3,502,103,8338,279,18542,147,Unsat
2,4.0,0.0,4,4,502,103,7905,280,17612,118,Unsat
3,3.6666667,0.22222221,4,3,502,103,0,245,1600,114,Sat
1,4.0,0.0,4,4,430,313,7661,293,17912,326,Sat
2,3.0,1.0,4,2,430,313,5942,149,14090,320,Sat
2,2.5,0.25,3,2,430,313,3322,123,7391,317,Unsat
1,4.0,0.0,4,4,289,15,2939,114,6741,20,Unsat
1,4.0,0.0,4,4,289,15,3117,106,6908,18,Unsat
3,3.0,0.6666667,4,2,289,15,2546,99,6366,18,Unsat
3,3.3333333,0.22222221,4,3,289,15,2764,125,6595,19,Unsat
99,2.989899,0.00999899,3,2,2049,230,36824,656,44973,252,Unsat
12,2.9166667,0.07638888,3,2,2049,230,635557,0,650734,345,Unknown
4,3.0,0.0,3,3,2049,230,635581,0,647763,301,Unknown
22,2.9545455,0.043388434,3,2,2049,230,506323,0,512408,276,Unknown
2,3.0,0.0,3,3,2049,230,22002,231,29545,341,Sat
1,3.0,0.0,3,3,2049,230,6585,146,11557,235,Sat
3,4.0,0.0,4,4,803,101,3706,137,7928,107,Unsat
1,2.0,0.0,2,2,803,101,3567,138,7547,109,Unsat
1,1.0,0.0,1,1,101,29,2714,129,6501,31,Unsat
42,2.8095238,0.20181404,3,1,1609,269,13719,265,23940,281,Unsat
5,3.0,0.0,3,3,1609,269,0,101,717,317,Sat
1,3.0,0.0,3,3,1609,269,4345,115,8677,276,Sat
1,3.0,0.0,3,3,1609,269,3631,132,7954,272,Sat
1,3.0,0.0,3,3,1609,269,3281,156,7568,272,Sat
1,3.0,0.0,3,3,247,67,3939,161,8069,74,Unsat
1,2.0,0.0,2,2,247,67,4125,119,8155,70,Unsat
6,3.1666667,0.13888888,4,3,495,21,3152,16186975,16194125,27,Sat
2,1.5,0.25,2,1,495,21,3600,118,7550,31,Sat
1,4.0,0.0,4,4,495,21,3611,112,7587,23,Sat
14,3.2142856,0.3112245,4,2,495,21,2853,190,7273,26,Sat
1,3.0,0.0,3,3,495,21,0,99,657,32,Sat
1,4.0,0.0,4,4,495,21,0,110,644,22,Sat
2,3.5,0.25,4,3,495,21,3881,131,7988,23,Sat
1,4.0,0.0,4,4,495,21,3850,133,7871,31,Sat
11,2.909091,0.08264462,3,2,692,66,11042,190,15197,75,Unsat
20,2.9,0.09000001,3,2,692,66,4771,210,9189,83,Sat
5,2.8,0.16,3,2,692,66,3890,125,8052,85,Sat
1,2.0,0.0,2,2,692,66,0,110,650,70,Sat
1,2.0,0.0,2,2,692,66,5838,116,9974,68,Sat
1,4.0,0.0,4,4,315,15,2952,3674722,3681522,18,Unsat
3,2.6666667,0.22222221,3,2,315,15,2843,148,7065,31,Unsat
4,3.5,0.75,4,2,315,15,2482,136,6299,20,Unsat
9,3.0,0.0,3,3,239,26,3480,162,7635,29,Sat
9,2.8888888,0.098765425,3,2,239,26,3333,134,7511,32,Sat
3,2.6666667,0.22222221,3,2,239,26,9024,133,13198,32,Sat
1,2.0,0.0,2,2,329,681,3141,139,7760,695,Sat
1,1.0,0.0,1,1,329,681,3341,2237342,2245166,683,Sat
2,1.0,0.0,1,1,231,152,3830,148,8229,155,Unsat
13,2.8461537,0.13017748,3,2,485,47,3124,151,7604,54,Sat
4,2.0,0.5,3,1,485,47,5197,136,9501,58,Sat
