original_total_changes,original_num_types,original_num_params,original_num_generics,original_num_patterns,original_num_nested_patterns,reduced_total_changes,reduced_num_types,reduced_num_params,reduced_num_generics,reduced_num_patterns,reduced_num_nested_patterns,time
8,3,0,4,1,1,8,3,0,4,1,1,0
6,2,2,1,1,1,6,2,2,1,1,1,0
7,2,2,1,1,2,7,2,2,1,1,2,0
23,6,8,4,1,5,10,4,3,0,1,3,20
50,6,8,4,6,32,10,4,3,0,1,3,23
28,6,8,4,2,10,10,4,3,0,1,3,17
22,6,8,4,2,4,22,6,8,4,2,4,0
8,2,1,3,1,2,8,2,1,3,1,2,0
24,6,10,4,2,4,7,2,1,2,1,2,14
13,3,4,3,1,3,11,3,3,3,1,2,9
17,5,6,3,1,3,7,2,1,2,1,2,14
13,2,3,1,2,7,7,2,1,1,1,3,13
28,6,8,7,3,7,10,2,2,3,1,3,44
18,4,5,1,5,8,18,4,5,1,5,8,0
39,7,7,8,6,17,11,3,3,3,1,2,19
37,7,7,8,5,15,11,3,3,3,1,2,16
9,3,3,1,1,2,6,3,1,0,1,2,7
29,7,11,8,1,3,18,5,3,8,1,2,16
35,7,11,8,3,9,18,5,3,8,1,2,25
19,4,7,6,1,2,10,3,1,4,1,2,12
24,6,12,4,1,2,10,3,1,4,1,2,13
15,4,6,0,2,5,8,3,3,0,1,2,11
24,5,7,6,2,6,11,4,1,4,1,2,14
24,5,7,6,2,6,11,4,1,4,1,2,15
12,3,3,3,1,3,7,2,1,2,1,2,11
14,4,1,7,1,2,9,2,1,4,1,2,6
16,4,5,5,1,2,16,4,5,5,1,2,0
30,4,4,6,7,16,30,4,4,6,7,16,0
27,8,9,4,1,6,27,8,9,4,1,6,0
26,8,9,4,1,5,26,8,9,4,1,5,0
26,8,9,4,1,5,26,8,9,4,1,5,0
23,8,9,4,1,2,23,8,9,4,1,2,0
10,3,2,3,1,2,7,2,2,1,1,2,12
16,4,5,5,1,2,13,4,2,5,1,2,17
13,3,4,4,1,2,9,3,1,3,1,2,8
6,2,2,0,1,2,5,2,1,0,1,2,9
18,3,6,5,1,4,12,3,1,5,1,3,17
9,2,3,2,1,2,7,2,1,2,1,2,8
9,2,3,2,1,2,7,2,1,2,1,2,8
16,3,5,4,1,4,10,3,1,4,1,2,14
20,6,6,0,3,8,6,3,1,0,1,2,20
11,4,3,0,2,4,6,3,1,0,1,2,11
22,6,6,0,4,10,7,3,2,0,1,2,11
14,6,6,0,1,2,6,3,1,0,1,2,17
16,4,4,4,2,4,9,3,1,3,1,2,10
10,4,4,0,1,2,7,3,2,0,1,2,7
23,8,9,4,1,2,6,3,1,0,1,2,17
15,5,3,5,1,2,7,2,1,2,1,2,8
7,2,2,1,1,2,7,2,2,1,1,2,0
6,2,2,1,1,1,6,2,2,1,1,1,0
27,7,11,6,1,3,13,5,1,5,1,2,25
35,8,8,5,7,14,35,8,8,5,7,14,0
21,5,6,0,4,10,7,3,2,0,1,2,17
20,5,6,0,3,9,7,3,2,0,1,2,11
29,8,9,10,1,2,9,3,1,3,1,2,17
9,2,2,3,1,2,8,2,1,3,1,2,6
29,8,9,10,1,2,9,3,1,3,1,2,13
18,5,7,3,1,3,12,5,2,3,1,2,17
18,4,6,3,2,5,18,4,6,3,2,5,0
20,5,7,3,2,5,13,5,3,3,1,2,13
17,5,7,3,1,2,13,5,3,3,1,2,10
18,5,7,3,1,3,12,5,2,3,1,2,23
18,4,4,7,1,3,15,4,2,7,1,2,10
7,3,0,3,1,1,7,3,0,3,1,1,0
22,4,4,7,3,7,15,4,2,7,1,2,10
12,4,3,3,1,2,8,3,1,2,1,2,5
18,3,6,1,4,8,18,3,6,1,4,8,0
41,8,10,5,6,18,41,8,10,5,6,18,0
13,3,2,6,1,2,13,3,2,6,1,2,2
9,2,1,4,1,2,9,2,1,4,1,2,2
19,6,5,6,1,2,9,3,1,3,1,2,10
33,7,10,3,5,13,14,5,2,3,3,4,64
9,2,2,3,1,2,9,2,2,3,1,2,4
20,7,6,5,1,2,9,4,1,2,1,2,8
34,8,11,5,3,10,12,5,1,3,1,3,24
29,8,11,5,1,5,12,5,1,3,1,3,21
54,6,8,2,12,38,13,5,2,2,2,4,147
12,3,3,2,1,4,10,3,3,2,1,2,8
21,4,6,5,3,6,21,4,6,5,3,6,0
8,3,3,0,1,2,6,3,1,0,1,2,11
24,6,5,9,2,4,24,6,5,9,2,4,0
84,3,6,1,18,74,84,3,6,1,18,74,0
12,3,2,4,1,3,9,2,1,4,1,2,9
11,3,2,4,1,2,9,2,1,4,1,2,8
7,2,3,0,1,2,5,2,1,0,1,2,9
8,2,3,0,1,3,5,2,1,0,1,2,10
16,3,5,6,1,2,9,2,1,4,1,2,9
50,3,5,6,10,36,10,2,1,4,1,3,18
16,5,6,2,1,3,7,3,2,0,1,2,15
24,3,5,6,2,10,9,2,1,4,1,2,12
22,5,6,2,4,9,5,2,1,0,1,2,18
13,3,3,5,1,2,9,2,1,4,1,2,9
9,2,1,5,1,1,9,2,1,5,1,1,0
66,5,9,1,17,51,66,5,9,1,17,51,0
22,6,5,2,2,9,8,3,2,0,1,3,19
140,4,9,5,38,122,9,2,2,3,1,2,116
12,3,1,6,1,2,12,3,1,6,1,2,2
23,5,7,9,1,2,23,5,7,9,1,2,0
12,3,1,6,1,2,12,3,1,6,1,2,2
21,4,8,7,1,2,8,2,1,3,1,2,7
10,2,3,0,2,5,5,2,1,0,1,2,12
24,7,10,4,1,3,7,2,1,2,1,2,10
11,2,3,0,2,6,5,2,1,0,1,2,13
20,5,7,1,2,7,7,3,1,0,1,3,19
17,4,5,3,2,5,8,3,1,2,1,2,11
27,5,7,1,4,14,7,3,1,0,1,3,20
32,7,8,7,4,10,32,7,8,7,4,10,0
14,3,3,6,1,2,12,3,1,6,1,2,8
14,3,3,6,1,2,12,3,1,6,1,2,7
11,5,2,2,2,2,11,5,2,2,2,2,0
14,3,2,6,1,3,12,3,1,6,1,2,9
19,3,2,6,3,8,12,3,1,6,1,2,10
7,2,1,3,1,1,7,2,1,3,1,1,0
13,4,3,4,1,2,13,4,3,4,1,2,0
6,2,0,3,1,1,6,2,0,3,1,1,0
12,4,3,4,1,1,12,4,3,4,1,1,0
26,6,8,8,1,4,8,2,1,2,1,3,21
14,4,3,6,1,1,14,4,3,6,1,1,0
9,2,3,1,1,3,6,2,1,1,1,2,9
15,4,3,6,1,2,15,4,3,6,1,2,0
20,4,6,3,3,7,7,2,1,2,1,2,11
22,3,2,1,6,16,22,3,2,1,6,16,0
10,4,2,0,2,4,6,3,1,0,1,2,12
16,4,4,3,3,5,16,4,4,3,3,5,0
9,2,2,3,1,2,8,2,1,3,1,2,7
15,4,3,5,2,3,9,2,2,3,1,2,24
34,6,11,6,2,11,10,3,1,3,1,3,17
17,5,2,8,1,2,9,2,1,4,1,2,6
27,6,11,6,1,4,10,3,1,3,1,3,14
34,7,12,8,3,7,34,7,12,8,3,7,0
29,7,12,8,1,2,29,7,12,8,1,2,0
37,3,4,4,7,26,10,3,1,4,1,2,14
16,3,4,4,1,5,10,3,1,4,1,2,11
24,5,8,8,1,3,9,2,1,4,1,2,17
18,7,4,5,1,2,12,5,1,4,1,2,10
14,4,5,3,1,2,9,2,2,3,1,2,14
12,3,3,4,1,2,9,2,2,3,1,2,12
14,3,6,0,1,5,6,3,1,0,1,2,13
14,4,3,5,1,2,14,4,3,5,1,2,0
13,4,3,5,1,1,13,4,3,5,1,1,0
14,3,6,0,1,5,8,3,3,0,1,2,13
28,3,6,0,4,19,8,3,3,0,1,2,16
24,7,5,3,5,9,24,7,5,3,5,9,0
13,3,2,6,1,2,12,3,1,6,1,2,7
148,3,4,1,30,140,148,3,4,1,30,140,0
15,5,3,4,1,3,15,5,3,4,1,3,0
